证券代码,公司中文名称
114895.SH,南京奥体建设开发有限责任公司
115823.SH,南京安居建设集团有限责任公司
122000002.IB,南京建设发展集团有限公司
121720001.IB,南京徐庄高新创业投资有限公司
102281837.IB,南京栖霞国有资产经营有限公司
600533.SH,南京栖霞建设股份有限公司
132280013.IB,南京金融城建设发展股份有限公司
600064.SH,南京高科股份有限公司
002305.SZ,南国置业股份有限公司
032280237.IB,南通市保障房建设投资集团有限公司
031571055.IB,南通文化旅游产业发展集团有限公司
600173.SH,卧龙资源集团股份有限公司
102381934.IB,厦门中骏集团有限公司
115550.SH,厦门国贸地产集团有限公司
102380377.IB,厦门国贸房地产有限公司
137599.SH,厦门安居控股集团有限公司
167596.SH,厦门禹洲鸿图地产开发有限公司
185948.SH,厦门经济特区房地产开发集团有限公司
1813.HK,合景泰富集团控股有限公司
0754.HK,合生创展集团有限公司
199976.SH,合肥兴泰金融控股(集团)有限公司
002208.SZ,合肥城建发展股份有限公司
135232.SH,吉林森工开发建设集团有限公司
196566.SH,哈尔滨好民居建设投资发展有限公司
102381975.IB,商丘市汇嘉置业有限公司
000918.SZ,嘉凯城集团股份有限公司
0996.HK,嘉年华国际控股有限公司
600466.SH,四川蓝光发展股份有限公司
124008.SH,国奥投资发展有限公司
2329.HK,国瑞健康产业有限公司
118603.SZ,国美控股集团有限公司
112334.SZ,国购投资有限公司
122415.SH,增城市碧桂园物业发展有限公司
122020.SH,复地(集团)股份有限公司
0021.HK,大中华控股(香港)有限公司
175679.SH,大华(集团)有限公司
2117.HK,大唐集团控股有限公司
0207.HK,大悦城地产有限公司
000031.SZ,大悦城控股集团股份有限公司
Q13090406.SZ,大汉城镇建设有限公司
127372.SH,大理海东开发投资集团有限公司
600665.SH,天地源股份有限公司
2118.HK,天山发展(控股)有限公司
000537.SZ,天津中绿电投资股份有限公司
600225.SH,天津卓朗信息科技股份有限公司
000965.SZ,天津天保基建股份有限公司
118563.SZ,天津房地产集团有限公司
600322.SH,天津津投城市开发股份有限公司
000897.SZ,天津津滨发展股份有限公司
098029.IB,天津滨海发展投资控股有限公司
167365.SH,天津蓟州新城建设投资有限公司
0059.HK,天誉置业(控股)有限公司
163911.SH,奥园集团有限公司
101562024.IB,宁波保税区投资开发有限责任公司
136507.SH,宁波奥克斯置业有限公司
600724.SH,宁波富达股份有限公司
252195.SH,宁波市镇开集团有限公司
124711.SH,宁波象岛资本投资集团有限公司
135505.SZ,宁波轨道交通华润置地有限公司
135340.SH,宁海县城建房地产开发有限公司
260009.SH,安徽省高速地产集团有限公司
1680423.IB,安顺渝坤房地产开发有限公司
600077.SH,宋都基业投资股份有限公司
2288.HK,宏基资本有限公司
031559024.IB,宜昌市房地产投资开发有限公司
114975.SZ,宿州市安居置业有限公司
197024.SH,山东信华发展有限公司
